ἐπείπερ			_	
θG			_	
προικὸς			_	
τῆς			_	
SUακαριοτάτης			_	
GερεGSUναμέSUης			_	
Θεοδώρου			_	
τSU			_	
εὐδοκιμοτάτου			_	
μητρὸς			_	
ἐξεχωρήSU			_	
ὁ			_	
αὐτὸς			_	
εὐδοκιμότατος			_	
ΘSUδSU			_	
παρὰ			_	
τοῦ			_	
εἰρημένου			_	
εὐδοκιμοτάτου			_	
Πατροφίλου			_	
Βάσσου			_	
GG			_	
τὰ			_	
καὶ			_	
περιεχόμενα			_	
τῇ			_	
γενομέSUῃ			_	
SUγράφSU			_	
ἐSUχωρήσει			_	
εἰς			_	
SU			_	
SU			_	
εὐδοκιμότατον			_	
Θεόδωρον			_	
κSU			_	
SUγένετSU			_	
SU			_	
SU			_	
SU			_	
SU			_	
SU			_	
ἰσότυπα			_	
δύο			_	
ἑκατέρῳ			_	
μSU			_	
ἕν			_	
ἅπερ			_	
ὑπογραφόμSU			_	
SU			_	
ἔSUται			_	
καὶ			_	
βέβαια			_	
πανSUαχοSU			_	
SUενα			_	
ἔSUι			_	
δὲ			_	
SUὶ			_	
SU			_	
συνέδοξεν			_	
αὐτοῖς			_	
ἀμSU			_	
ὡς			_	
εἰ			_	
συμβῇ			_	
ΠαλλαδSUαν			_	
τὴν			_	
εὐλαβεστάτην			_	
SUητέραν			_	
SU			_	
SU			_	
SUμένου			_	
Πατροφίλου			_	
μάμμηSU			_	
δSU			_	
SU			_	
SU			_	
SU			_	
SU			_	
Θεοδώρου			_	
περιοG			_	
ἀδιατυπSUσαν			_	
παραG			_	
GηSU			_	
δωρεᾶς			_	
ηκεGGGευρονGτηςGG			_	
SUνα			_	
αὐτῶν			_	
μηδSUμίαν			_	
μεGον			_	
τοιουτG			_	
GετεροG			_	
κSUὶ			_	
GεG			_	
SU			_	
SU			_	
SU			_	
ἢ			_	
διακατόχων			_	
GGτον			_	
καSU			_	
ἀνείσχυρον			_	
εἶSUαι			_	
μεταξὺ			_	
SU			_	
SU			_	
SU			_	
κSUηρονόSU			_	
GGGGG			_	
G			_	
τὸν			_	
εἰρημένον			_	
εὐδοκίμως			_	
χηG			_	
τῆς			_	
δούλης			_	
ΓανυGG			_	
ἔτι			_	
δὲ			_	
καSU			_	
SU			_	
SU			_	
εἰ			_	
φανείη			_	
ὁ			_	
εὐδοκSU			_	
SUόφιSU			_	
GGνγραG			_	
SU			_	
μακαριοτάτου			_	
Βάσσου			_	
αὐτοῦ			_	
πατρὸς			_	
Gτον			_	
γεναG			_	
GG			_	
τὸν			_	
εὐδοκιμότατον			_	
ΘεόδωSUον			_	
GGG			_	
καὶ			_	
πρὸς			_	
τῷ			_	
ταῦτα			_	
SU			_	
SU			_	
βέβαια			_	
καὶ			_	
ἀμετάτρεSU			_	
SU			_	
ἐSUσSUντο			_	
ἀμSU			_	
SU			_	
SUον			_	
καὶ			_	
φρικωδέστατον			_	
SU			_	
SU			_	
SUαν			_	
Τριάδα			_	
καὶ			_	
βασιλεικὴν			_	
σωτSUρίαν			_	
τοῦ			_	
δSU			_	
SUῶν			_	
καὶ			_	
πάσης			_	
τῆς			_	
οἰκSU			_	
SU			_	
SU			_	
αἰωνίου			_	
Αὐγούστου			_	
ὑποθήμενοι			_	
ἀλλήλοις			_	
ἐSUὶ			_	
τSUτSU			_	
G			_	
πάντα			_	
αSUτῶν			_	
τὰ			_	
SU			_	
καὶ			_	
ὑπάρξονSU			_	
SU			_	
SU			_	
SU			_	
κSUηρονόμSU			_	
SU			_	
SU			_	
SUν			_	
πίστSU			_	
SU			_	
SU			_	
SUν			_	
τSU			_	
προγεγραμμέSU			_	
SUωτημέSU			_	
SU			_	
ὁμολογημένης			_	
μετὰ			_	
τὴν			_	
ὑπA			_	
ΦλA			_	
Βελεσαρίου			_	
τοῦ			_	
ἐνδSUτάτου			_	
καὶ			_	
πανευφήμου			_	
SU			_	
SU			_	
Καλανδῶν			_	
Ἰουνίων			_	
ἔτους			_	
τῆς			_	
ἐπαρχείας			_	
τετρακοσιοστοῦ			_	
τρSU			_	
δευτέρου			_	
μηνὸς			_	
ΔαισίοSU			_	
τρίτῃ			_	
χρόνωSU			_	
SUεντεκαιδSUκάτης			_	
ἰνδικτSU			_	
ἐν			_	
