εἰ			_	
δὲ			_	
συμβῇ			_	
τὸν			_	
εἰρημένον			_	
εὐδοκιμώτατον			_	
Πατρόφιλον			_	
καὶ			_	
αὐτὸν			_	
τελευτησαGαGG			_	
καταλεῖψαι			_	
τὴν			_	
αὐτὴν			_	
Στεφανοῦν			_	
τὴν			_	
κοσμιωτάτην			_	
γαμετὴν			_	
μὲν			_	
Θεοδώρου			_	
αὐτοῦ			_	
δὲ			_	
Πατροφίλου			_	
θυγατέρα			_	
ἔδοξεν			_	
εἰς			_	
αὐτὴν			_	
Στεφανοῦν			_	
ἔρχεσθαι			_	
καὶ			_	
καταντᾶν			_	
τὰ			_	
αὐτοῦ			_	
Πατροφίλου			_	
τοῦ			_	
εὐδοκιμωτάτου			_	
πάντα			_	
ὁμοίως			_	
δὲ			_	
καὶ			_	
τοῦτο			_	
αὐτοῖς			_	
συνέδοξεν			_	
ἐπειGGγραμμαG			_	
ἔσχεν			_	
ὁ			_	
μακαριώτατος			_	
Ὀβοδιανὸς			_	
πατὴρ			_	
τοῦ			_	
εἰρημένου			_	
εὐδοκιμωτάτου			_	
Θεοδώρου			_	
GοφιλοGG			_	
Κυρίκου			_	
γενομένηG			_	
νομισμάτων			_	
ἐφʼ			_	
ᾧ			_	
GGτου			_	
ἢ			_	
μέρους			_	
αὐτοῦ			_	
G			_	
τὸ			_	
ἀπαιτούμενον			_	
μέρος			_	
G			_	
ἀπαιτηθῇ			_	
ἐξ			_	
αὐτοῦ			_	
Gενα			_	
αὐτG			_	
ελεύσεως			_	
GGGGGεπραGG			_	
ἑκόντος			_	
GGμεθGματGG			_	
ἢ			_	
βλάβην			_	
ὑποGGGG			_	
ζημίας			_	
μέρος			_	
ἥμισυ			_	
δGοτως			_	
δʼ			_	
ἐδόχθη			_	
καὶ			_	
συνGG			_	
μεταξὺ			_	
αὐτῶν			_	
καὶ			_	
ἐν			_	
τοῖς			_	
μεταξὺ			_	
αὐτῶν			_	
κατὰ			_	
τὸν			_	
καιρὸν			_	
τῆς			_	
διαλύσεως			_	
λαλουμένοις			_	
συνεῖδον			_	
συμφωνήσαντες			_	
ἀλλήλοις			_	
ὡς			_	
εἰ			_	
μὲν			_	
συμβῇ			_	
Θεόδωρον			_	
τὸν			_	
εὐδοκιμώτατον			_	
ἄπαιδα			_	
τελευτῆσαι			_	
περιούσης			_	
τῆς			_	
κοσμιωτάτης			_	
Στεφανοῦς			_	
αὐτοῦ			_	
γαμετῆς			_	
πάντα			_	
τὰ			_	
ἐκχωρηθέντα			_	
αὐτῷ			_	
παρὰ			_	
τοῦ			_	
εἰρημένου			_	
εὐδοκιμωτάτου			_	
Πατροφίλου			_	
αὐτῆς			_	
πατρὸς			_	
ἀκίνητα			_	
πράγματα			_	
ἔρχεσθαι			_	
καὶ			_	
καταντᾶν			_	
εἰς			_	
τὴν			_	
κοσμιωτάτην			_	
Στεφανοῦν			_	
εἰ			_	
δὲ			_	
τελευτήσει			_	
ἡ			_	
αὐτὴ			_	
κοσμιωτάτη			_	
Στεφανοῦς			_	
τελευτήσει			_	
δὲ			_	
μετʼ			_	
αὐτὴν			_	
καὶ			_	
ὅπερ			_	
ἀπείη			_	
ὁ			_	
αὐτὸς			_	
εὐδοκιμώτατος			_	
Θεόδωρος			_	
πάντα			_	
τὰ			_	
ἐκχωρηθέντα			_	
ἔρχεσθαι			_	
εἰς			_	
Πατρόφιλον			_	
τὸν			_	
εὐδοκιμώτατον			_	
θεῖον			_	
αὐτοῦ			_	
ἤγουν			_	
εἰς			_	
κληρονόμους			_	
αὐτοῦ			_	
εἰ			_	
δὲ			_	
τελευτήσει			_	
ἡ			_	
κοσμιωτάτη			_	
Στεφανοῦς			_	
περιόντων			_	
ἀμφοτέρων			_	
τῶν			_	
εἰρημένων			_	
εὐδοκιμωτάτων			_	
Πατροφίλου			_	
καὶ			_	
Θεοδώρου			_	
καὶ			_	
ἄπαις			_	
παντελῶς			_	
τὸν			_	
βίον			_	
καταλῦσαι			_	
ὁ			_	
αὐτὸς			_	
εὐδοκιμώτατος			_	
Πατρόφιλος			_	
ἔρχεσθαι			_	
καὶ			_	
καταντᾶν			_	
τὰ			_	
αὐτοῦ			_	
πράγματα			_	
εἰς			_	
τὸν			_	
εἰρημένον			_	
εὐδοκιμώτατον			_	
Θεόδωρον			_	
αὐτοῦ			_	
ἐξάδελφον			_	
καὶ			_	
γαμβρὸν			_	
GυπειςGG			_	
ἔτι			_	
τε			_	
καὶ			_	
τοῦτο			_	
αὐτοῖς			_	
συνέδοξεν			_	
μετὰ			_	
συναινέσεως			_	
καὶ			_	
ἐξ			_	
ἐπερωτήσεως			_	
ἀλλήλων			_	
ωGGτωνGG			_	
Πατροφίλου			_	
