1	Δίδυμος	Δίδυμος	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
2	Δράκωνει	Δράκων	NN	number=SINGULAR|gender=MASCULINE|case=DATIVE	
3	καὶ	καί	CONJ	_	
4	Ερημησις	Ερεμησις	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
5	καὶ	καί	CONJ	_	
6	Ἀμωνιανῶι	Ἀμμωνιανός	NN	number=SINGULAR|gender=MASCULINE|case=DATIVE	
7	ἀμφοτέροις	ἀμφότερος	ADJ	number=PLURAL|gender=MASCULINE|case=DATIVE	
8	πολλὰ	πολύς	ADJ	number=PLURAL|gender=NEUTER|case=ACCUSATIVE	
9	χαA	χαίρω	VB	tense=PR|mood=INFINITIVE|voice=ACTIVE	
10	καὶ	καί	CONJ	_	
11	τὸ	ὁ		number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
12	προσκύνημα	προσκύνημα	NN	number=SINGULAR|gender=NEUTER|case=NOMINATIVE	
13	ἡμῶν	ἐγώ	PRON	person=PERSON_1|number=PLURAL|gender=MASCULINE|case=GENITIVE	
14	ποιOM	ποιέω	VB	person=PERSON_1|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
15	παρὰ	πηρός	ADJ	number=PLURAL|gender=NEUTER|case=NOMINATIVE	
16	τῇ	ὁ		number=SINGULAR|gender=FEMININE|case=DATIVE	
17	Τύχῃ	Τύχη	NN	number=SINGULAR|gender=FEMININE|case=DATIVE	
18	Καμπῆτος	Καμπη	NN	number=SINGULAR|case=GENITIVE	
1	ἄδελφαι	ἀδελφός	NN	number=SINGULAR|gender=MASCULINE|case=VOCATIVE	
2	Δράκων	Δράκων	NN	number=SINGULAR|gender=MASCULINE|case=VOCATIVE	
3	γρειψG			_	
4	γράψον	γράφω	VB	person=PERSON_2|number=SINGULAR|mood=IMPERATIVE|voice=ACTIVE	
5	μοι	ἐγώ	PRON	person=PERSON_1|number=SINGULAR|gender=MASCULINE|case=DATIVE	
6	περὶ	περί	PREP	_	
7	τῆς	ὁ		number=SINGULAR|gender=FEMININE|case=GENITIVE	
8	σωτηρίας	σωτηρία	NN	number=SINGULAR|gender=FEMININE|case=GENITIVE	
9	σου	σύ	PRON	person=PERSON_2|number=SINGULAR|case=GENITIVE	
1	ὃ	ὅς	PRON	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
2	ἐὰν	ἐάν	CONJ	_	
3	εἴπαι	εἶπον	VB	person=PERSON_3|number=SINGULAR|voice=ACTIVE	
4	σοι	σύ	PRON	person=PERSON_2|number=SINGULAR|case=DATIVE	
5	Πανίσκος	Πανίσκος	NN	number=SINGULAR|gender=MASCULINE|case=NOMINATIVE	
6	περιποίησον	περιποιέω	VB	person=PERSON_2|number=SINGULAR|mood=IMPERATIVE|voice=ACTIVE	
7	ὡς	ὡς	CONJ	_	
8	σατῷ	σαυτοῦ	PRON	number=SINGULAR|gender=MASCULINE|case=DATIVE	
9	ποιεῖς	ποιέω	VB	person=PERSON_2|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
10	ἵνα	ἵνα	CONJ	_	
11	οὕτως	οὕτως	ADV	_	
12	πέμπω	πέμπω	VB	person=PERSON_1|number=SINGULAR|tense=PR|mood=INDICATIVE|voice=ACTIVE	
13	σοι	σύ	PRON	person=PERSON_2|number=SINGULAR|case=DATIVE	
14	αὑτοῦ	ἑαυτοῦ	PRON	number=SINGULAR|gender=MASCULINE|case=GENITIVE	
15	ὃ	ὅς	PRON	number=SINGULAR|gender=NEUTER|case=ACCUSATIVE	
16	ἐὰν	ἐάν	CONJ	_	
17	δαπανήσῃς	δαπανάω	VB	person=PERSON_2|number=SINGULAR|mood=SUBJUNCTIVE|voice=ACTIVE	
